year,class,task_id,answer,page_index,is_text_only,image_path
1999,11 bis 13,1,E,1,False,references_1998_2011/1999_11bis13_1.png
1999,11 bis 13,2,B,1,False,references_1998_2011/1999_11bis13_2.png
1999,11 bis 13,3,E,1,False,references_1998_2011/1999_11bis13_3.png
1999,11 bis 13,4,E,1,False,references_1998_2011/1999_11bis13_4.png
1999,11 bis 13,5,D,1,False,references_1998_2011/1999_11bis13_5.png
1999,11 bis 13,6,D,1,False,references_1998_2011/1999_11bis13_6.png
1999,11 bis 13,7,B,2,False,references_1998_2011/1999_11bis13_7.png
1999,11 bis 13,8,A,2,False,references_1998_2011/1999_11bis13_8.png
1999,11 bis 13,9,D,2,False,references_1998_2011/1999_11bis13_9.png
1999,11 bis 13,10,A,2,False,references_1998_2011/1999_11bis13_10.png
1999,11 bis 13,11,A,2,False,references_1998_2011/1999_11bis13_11.png
1999,11 bis 13,12,D,2,False,references_1998_2011/1999_11bis13_12.png
1999,11 bis 13,13,E,2,False,references_1998_2011/1999_11bis13_13.png
1999,11 bis 13,14,A,2,False,references_1998_2011/1999_11bis13_14.png
1999,11 bis 13,15,E,2,False,references_1998_2011/1999_11bis13_15.png
1999,11 bis 13,16,E,3,False,references_1998_2011/1999_11bis13_16.png
1999,11 bis 13,17,D,3,False,references_1998_2011/1999_11bis13_17.png
1999,11 bis 13,18,D,3,False,references_1998_2011/1999_11bis13_18.png
1999,11 bis 13,19,C,3,False,references_1998_2011/1999_11bis13_19.png
1999,11 bis 13,20,E,3,False,references_1998_2011/1999_11bis13_20.png
1999,11 bis 13,21,C,3,False,references_1998_2011/1999_11bis13_21.png
1999,11 bis 13,22,B,3,False,references_1998_2011/1999_11bis13_22.png
1999,11 bis 13,23,E,3,False,references_1998_2011/1999_11bis13_23.png
1999,11 bis 13,24,C,4,False,references_1998_2011/1999_11bis13_24.png
1999,11 bis 13,25,B,4,False,references_1998_2011/1999_11bis13_25.png
1999,11 bis 13,26,E,4,False,references_1998_2011/1999_11bis13_26.png
1999,11 bis 13,27,A,4,False,references_1998_2011/1999_11bis13_27.png
1999,11 bis 13,28,D,4,False,references_1998_2011/1999_11bis13_28.png
1999,11 bis 13,29,A,4,False,references_1998_2011/1999_11bis13_29.png
1999,11 bis 13,30,C,4,False,references_1998_2011/1999_11bis13_30.png
1999,3 und 4,1,C,1,False,references_1998_2011/1999_3und4_1.png
1999,3 und 4,2,C,1,False,references_1998_2011/1999_3und4_2.png
1999,3 und 4,3,E,1,False,references_1998_2011/1999_3und4_3.png
1999,3 und 4,4,E,1,False,references_1998_2011/1999_3und4_4.png
1999,3 und 4,5,B,1,False,references_1998_2011/1999_3und4_5.png
1999,3 und 4,6,C,2,False,references_1998_2011/1999_3und4_6.png
1999,3 und 4,7,D,2,False,references_1998_2011/1999_3und4_7.png
1999,3 und 4,8,B,2,False,references_1998_2011/1999_3und4_8.png
1999,3 und 4,9,UNKNOWN,2,False,references_1998_2011/1999_3und4_9.png
1999,3 und 4,10,UNKNOWN,2,False,references_1998_2011/1999_3und4_10.png
1999,3 und 4,11,D,3,False,references_1998_2011/1999_3und4_11.png
1999,3 und 4,12,D,3,False,references_1998_2011/1999_3und4_12.png
1999,3 und 4,13,A,3,False,references_1998_2011/1999_3und4_13.png
1999,3 und 4,14,B,3,False,references_1998_2011/1999_3und4_14.png
1999,3 und 4,15,D,3,False,references_1998_2011/1999_3und4_15.png
1999,5 und 6,1,B,1,False,references_1998_2011/1999_5und6_1.png
1999,5 und 6,2,D,1,False,references_1998_2011/1999_5und6_2.png
1999,5 und 6,3,B,1,False,references_1998_2011/1999_5und6_3.png
1999,5 und 6,4,E,1,False,references_1998_2011/1999_5und6_4.png
1999,5 und 6,5,A,1,False,references_1998_2011/1999_5und6_5.png
1999,5 und 6,6,C,1,False,references_1998_2011/1999_5und6_6.png
1999,5 und 6,7,D,2,False,references_1998_2011/1999_5und6_7.png
1999,5 und 6,8,E,2,False,references_1998_2011/1999_5und6_8.png
1999,5 und 6,9,UNKNOWN,2,False,references_1998_2011/1999_5und6_9.png
1999,5 und 6,10,UNKNOWN,2,False,references_1998_2011/1999_5und6_10.png
1999,5 und 6,11,E,2,False,references_1998_2011/1999_5und6_11.png
1999,5 und 6,12,B,2,False,references_1998_2011/1999_5und6_12.png
1999,5 und 6,13,B,2,False,references_1998_2011/1999_5und6_13.png
1999,5 und 6,14,A,2,False,references_1998_2011/1999_5und6_14.png
1999,5 und 6,15,C,2,False,references_1998_2011/1999_5und6_15.png
1999,5 und 6,16,D,3,False,references_1998_2011/1999_5und6_16.png
1999,5 und 6,17,B,3,False,references_1998_2011/1999_5und6_17.png
1999,5 und 6,18,A,3,False,references_1998_2011/1999_5und6_18.png
1999,5 und 6,19,UNKNOWN,3,False,references_1998_2011/1999_5und6_19.png
1999,5 und 6,20,UNKNOWN,3,False,references_1998_2011/1999_5und6_20.png
1999,5 und 6,21,E,3,False,references_1998_2011/1999_5und6_21.png
1999,5 und 6,22,C,3,False,references_1998_2011/1999_5und6_22.png
1999,5 und 6,23,C,3,False,references_1998_2011/1999_5und6_23.png
1999,5 und 6,24,B,4,False,references_1998_2011/1999_5und6_24.png
1999,5 und 6,25,UNKNOWN,4,False,references_1998_2011/1999_5und6_25.png
1999,5 und 6,26,UNKNOWN,4,False,references_1998_2011/1999_5und6_26.png
1999,5 und 6,27,UNKNOWN,4,False,references_1998_2011/1999_5und6_27.png
1999,5 und 6,28,UNKNOWN,4,False,references_1998_2011/1999_5und6_28.png
1999,5 und 6,29,UNKNOWN,4,False,references_1998_2011/1999_5und6_29.png
1999,5 und 6,30,UNKNOWN,4,False,references_1998_2011/1999_5und6_30.png
1999,7 und 8,1,D,1,False,references_1998_2011/1999_7und8_1.png
1999,7 und 8,2,D,1,False,references_1998_2011/1999_7und8_2.png
1999,7 und 8,3,B,1,False,references_1998_2011/1999_7und8_3.png
1999,7 und 8,4,D,1,False,references_1998_2011/1999_7und8_4.png
1999,7 und 8,5,A,1,False,references_1998_2011/1999_7und8_5.png
1999,7 und 8,6,B,1,False,references_1998_2011/1999_7und8_6.png
1999,7 und 8,7,B,2,False,references_1998_2011/1999_7und8_7.png
1999,7 und 8,8,C,2,False,references_1998_2011/1999_7und8_8.png
1999,7 und 8,9,A,2,False,references_1998_2011/1999_7und8_9.png
1999,7 und 8,10,A,2,False,references_1998_2011/1999_7und8_10.png
1999,7 und 8,11,D,2,False,references_1998_2011/1999_7und8_11.png
1999,7 und 8,12,B,2,False,references_1998_2011/1999_7und8_12.png
1999,7 und 8,13,E,2,False,references_1998_2011/1999_7und8_13.png
1999,7 und 8,14,B,3,False,references_1998_2011/1999_7und8_14.png
1999,7 und 8,15,C,3,False,references_1998_2011/1999_7und8_15.png
1999,7 und 8,16,C,3,False,references_1998_2011/1999_7und8_16.png
1999,7 und 8,17,D,3,False,references_1998_2011/1999_7und8_17.png
1999,7 und 8,18,B,3,False,references_1998_2011/1999_7und8_18.png
1999,7 und 8,19,C,3,False,references_1998_2011/1999_7und8_19.png
1999,7 und 8,20,A,3,False,references_1998_2011/1999_7und8_20.png
1999,7 und 8,21,E,3,False,references_1998_2011/1999_7und8_21.png
1999,7 und 8,22,B,3,False,references_1998_2011/1999_7und8_22.png
1999,7 und 8,23,A,4,False,references_1998_2011/1999_7und8_23.png
1999,7 und 8,24,D,4,False,references_1998_2011/1999_7und8_24.png
1999,7 und 8,25,B,4,False,references_1998_2011/1999_7und8_25.png
1999,7 und 8,26,A,4,False,references_1998_2011/1999_7und8_26.png
1999,7 und 8,27,E,4,False,references_1998_2011/1999_7und8_27.png
